instance,best_known,coloring_cwls_primal,coloring_cwls_time_to_best_known,coloring_cwls_time_to_improve,coloring_cwls_time_opt
sqrp34718,9999999,214,6.31180009804666e-5,6.31180009804666e-5,-
sqrp36053,9999999,197,6.036400009179488e-5,6.036400009179488e-5,-
sqrp37978,9999999,208,0.00019559099746402353,0.00019559099746402353,-
sqrp39917,9999999,205,8.420900121564046e-5,8.420900121564046e-5,-
sqrp41955,9999999,205,4.8691999836592004e-5,4.8691999836592004e-5,-
sqrp43759,9999999,218,0.00018267300038132817,0.00018267300038132817,-
sqrp45933,9999999,214,0.00019086799875367433,0.00019086799875367433,-
sqrp47890,9999999,206,4.9542999477125704e-5,4.9542999477125704e-5,-
sqrp49981,9999999,273,6.559299799846485e-5,6.559299799846485e-5,-
sqrp51004,9999999,238,5.185799818718806e-5,5.185799818718806e-5,-
sqrp53087,9999999,251,0.00019469100516289473,0.00019469100516289473,-
sqrp53628,9999999,270,0.0001270929933525622,0.0001270929933525622,-
sqrp55426,9999999,249,4.3071999243693426e-5,4.3071999243693426e-5,-
sqrp56833,9999999,252,5.460299871629104e-5,5.460299871629104e-5,-
sqrp57865,9999999,280,5.361099829315208e-5,5.361099829315208e-5,-
sqrp60119,9999999,297,6.578399916179478e-5,6.578399916179478e-5,-
sqrp62212,9999999,257,0.0001355620042886585,0.0001355620042886585,-
sqrp63419,9999999,325,0.00020488699374254793,0.00020488699374254793,-
sqrp63650,9999999,264,0.00021672500588465482,0.00021672500588465482,-
sqrp65541,9999999,260,6.972200208110735e-5,6.972200208110735e-5,-
sqrp67451,9999999,292,5.458300074678846e-5,5.458300074678846e-5,-
sqrp69121,9999999,279,0.00019320599676575512,0.00019320599676575512,-
sqrp69435,9999999,278,4.654900112655014e-5,4.654900112655014e-5,-
sqrp70811,9999999,275,0.00015092799731064588,0.00015092799731064588,-
sqrp72075,9999999,276,5.642700125463307e-5,5.642700125463307e-5,-
sqrp73525,9999999,335,0.00014387299597728997,0.00014387299597728997,-
sqrpecn3020,9999999,118,3.1979998311726376e-5,3.1979998311726376e-5,-
sqrpecn3218,9999999,118,5.06450014654547e-5,5.06450014654547e-5,-
sqrpecn5276,9999999,149,3.317200025776401e-5,3.317200025776401e-5,-
sqrpecn8508,9999999,222,9.799099643714726e-5,9.799099643714726e-5,-
sqrpecn10560,9999999,257,4.786999852512963e-5,4.786999852512963e-5,-
sqrpecn10755,9999999,196,0.0001479579950682819,0.0001479579950682819,-
sqrpecn14854,9999999,304,5.1696999435080215e-5,5.1696999435080215e-5,-
sqrpecn15605,9999999,336,4.330099909566343e-5,4.330099909566343e-5,-
sqrpecn17186,9999999,279,0.00017159999697469175,0.00017159999697469175,-
sqrpecn17395,9999999,334,6.090399983804673e-5,6.090399983804673e-5,-
sqrpecn18520,9999999,322,4.6768000174779445e-5,4.6768000174779445e-5,-
sqrpecn19349,9999999,402,4.90019992867019e-5,4.90019992867019e-5,-
sqrpecn23715,9999999,425,0.00016484499792568386,0.00016484499792568386,-
sqrpecn23873,9999999,379,0.00012170599802630022,0.00012170599802630022,-
sqrpecn27255,9999999,365,5.196799975237809e-5,5.196799975237809e-5,-
sqrpecn29223,9999999,395,6.851900252513587e-5,6.851900252513587e-5,-
sqrpecn30017,9999999,350,0.00011575099779292941,0.00011575099779292941,-
sqrpecn30957,9999999,379,0.00019072600116487592,0.00019072600116487592,-
sqrpecn31026,9999999,399,0.00018951900710817426,0.00018951900710817426,-
sqrpecn32073,9999999,446,7.203599670901895e-5,7.203599670901895e-5,-
sqrpecn33659,9999999,394,0.00020439100626390427,0.00020439100626390427,-
sqrpecn35230,9999999,435,0.00013687599857803434,0.00013687599857803434,-
sqrpecn37744,9999999,469,0.00019513900042511523,0.00019513900042511523,-
sqrpecn39689,9999999,462,5.0795999413821846e-5,5.0795999413821846e-5,-
sqrpecn41897,9999999,461,6.465199840022251e-5,6.465199840022251e-5,-
sqrpecn44118,9999999,508,6.496300193248317e-5,6.496300193248317e-5,-
sqrpecn45700,9999999,469,0.00014576400280930102,0.00014576400280930102,-
sqrpecn45811,9999999,467,0.00020706299983430654,0.00020706299983430654,-
sqrpecn48383,9999999,470,6.821800343459472e-5,6.821800343459472e-5,-
sqrpecn49763,9999999,471,0.00020961000700481236,0.00020961000700481236,-
sqrpecn51856,9999999,502,7.240699778776616e-5,7.240699778776616e-5,-
sqrpecn52587,9999999,517,0.00021764299890492111,0.00021764299890492111,-
sqrpecn54576,9999999,512,0.00021988499793224037,0.00021988499793224037,-
sqrpecn56236,9999999,554,7.370900129899383e-5,7.370900129899383e-5,-
sqrpecn57317,9999999,516,4.99339985253755e-5,4.99339985253755e-5,-
